italian_name,n_sources,sources,latin_names
giunco,2,matthioli_1568; targioni_1858,JUNCUS Conglomcratus; JUNCUS inflexus; SCIRPUS lacustris; SCIRPUS romanus
gramigna,2,matthioli_1568; targioni_1858,TRITICUM repens
incenso,2,matthioli_1568; manual_curated,BOSWELLIA sacra
issopo,2,targioni_1858; matthioli_1568,HYSSOPUS olEcinalis; HYSSOPUS officinalis
ixia,2,matthioli_1568; targioni_1858,"CARLINA CAHLl'NAE acaulis , gummiresina"
lattuca,2,matthioli_1568; targioni_1858,KOELREUTERIA -jLaCTUCA sativa
lavanda,2,matthioli_1568; manual_curated,LAVANDULA angustifolia
lino,2,targioni_1858; matthioli_1568,LINUM usitatissimum
liquirizia,2,matthioli_1568; manual_curated,GLYCYRRHIZA glabra
lupino,2,targioni_1858; matthioli_1568,LUPINUS albus
marrubio,2,matthioli_1568; manual_curated,MARRUBIUM vulgare
matricaria,2,matthioli_1568; targioni_1858,CHRYSANTHEMITM Parrhcnium .Pers
medica,2,matthioli_1568; targioni_1858,CITRUS Bergamotto di frutto rotondo grande; CITRUS Li- mone di Salerno; CITRUS Lima cedrata. Lumia cedrata; CITRUS Limoncello di Napoli. Limonetta di Calabria; CITRUS Limone Ballottino di Spagna»
melissa,2,targioni_1858; matthioli_1568,MELISSA officinalis
nepeta,2,targioni_1858; manual_curated,NEPETA cataria
noce moscada,2,veneto_xv; manual_curated,MYRISTICA fragrans
oppio,2,matthioli_1568; manual_curated,"PAPAVER somniferum, latex"
origano,2,matthioli_1568; manual_curated,ORIGANUM vulgare
panace chironio,2,matthioli_1568; targioni_1858,HELI \NTHE V1UM vulgate
papiro,2,matthioli_1568; targioni_1858,CYPERUS Paoyrus
pepe,2,matthioli_1568; targioni_1858,PIPER nigrum
pevere,2,veneto_xv; manual_curated,PIPER nigrum
peverella,2,veneto_xv; manual_curated,LEPIDIUM latifolium
picea,2,matthioli_1568; targioni_1858,PINUS Mughi
pimpinella,2,matthioli_1568; manual_curated,PIMPINELLA saxifraga
poligala,2,matthioli_1568; targioni_1858,POLYANTHES POL.YGAL A Senega
poligono,2,matthioli_1568; manual_curated,POLYGONUM aviculare
ptarmica,2,matthioli_1568; targioni_1858,ACHILLAEA Millefolio
ramerino,2,toscano_xv; manual_curated,ROSMARINUS officinalis
reubarbaro,2,veneto_xv; manual_curated,RHEUM palmatum
romice,2,targioni_1858; matthioli_1568,RUMEX pulcher; RUMEX acetosa
rosmarino,2,matthioli_1568; manual_curated,ROSMARINUS officinalis
roxmarin,2,veneto_xv; manual_curated,ROSMARINUS officinalis
ruta,2,matthioli_1568; targioni_1858,RUTA graveolens
sabina,2,matthioli_1568; targioni_1858,JUNIPERUS Cedro licio
safran,2,veneto_xv; manual_curated,CROCUS sativus
salvia,2,matthioli_1568; manual_curated,SALVIA officinalis
sambuco,2,matthioli_1568; manual_curated,SAMBUCUS nigra
santoreggia,2,targioni_1858; matthioli_1568,SATUREIA montana; SATUREJA hortensis
savina,2,veneto_xv; manual_curated,JUNIPERUS sabina
scilla,2,matthioli_1568; manual_curated,URGINEA maritima
sempreviva,2,toscano_xv; manual_curated,SEMPERVIVUM tectorum
serpillo,2,matthioli_1568; manual_curated,THYMUS serpyllum
solatro halicacabo,2,matthioli_1568; targioni_1858,PHYSALIS Allcekengi
sorba,2,matthioli_1568; targioni_1858,PYRI Sementina rigata
spina bianca,2,matthioli_1568; targioni_1858,CRATAEGI monogynia
stramonio,2,matthioli_1568; manual_curated,DATURA stramonium
timo,2,matthioli_1568; manual_curated,THYMUS vulgaris
tribolo,2,matthioli_1568; targioni_1858,TRAPA natans
vena,2,matthioli_1568; targioni_1858,AVENA sativa
verbena,2,matthioli_1568; manual_curated,VERBENA officinalis
zafferano,2,matthioli_1568; manual_curated,CROCUS sativus
zengevero,2,veneto_xv; manual_curated,ZINGIBER officinale
! eia salvatica,1,targioni_1858,"VIBURNUM Faba , humilis"
'fungo borsone,1,targioni_1858,BOLETUS crassus
(ine,1,targioni_1858,FICI Fico bottajo o Faraone
* giore,1,targioni_1858,VITIS Montanina
1 assenzio salvatico,1,targioni_1858,ANTHEMIS ■ tinctoria
1 erba da latte,1,targioni_1858,RICINUS communis
4<- ne aurea dulci,1,targioni_1858,CUCURBITA Zucca
65 integris,1,targioni_1858,"MORUS More bianche di foglie intagliate, dette spagnole"
? rogo,1,targioni_1858,RUBUS fruticosus
a farum,1,matthioli_1568,
a gno casto,1,targioni_1858,VITEX Agnus castus
abarro,1,targioni_1858,TOMO SECONDO 14 Arbutus Unedo
abatro,1,targioni_1858,ARBUTUS Unedo
abete,1,targioni_1858,PINUS Abies
abete comune,1,targioni_1858,PINUS Abies
abeto bianco,1,targioni_1858,PINUS Abies
abezzo,1,targioni_1858,PINUS Abies
abrostine nero di mezzo sapore,1,targioni_1858,VITIS ■ Abrostine o colore dolce
abrostino,1,targioni_1858,VITIS Labrusca
abrostolo,1,targioni_1858,VITIS Labrusca
abrotano femmina,1,targioni_1858,SANGUISORB SANTOLl'NA Chamaecyparissus
abrotine salva tico,1,targioni_1858,ANTIRRHINUM Linaria
abru achi,1,targioni_1858,VITIS Labrusca
abròstine,1,targioni_1858,VITIS Labrusca
absinthium,1,targioni_1858,ARONIA Abrotono . Abruotine . Abruotino
acacia inerme,1,targioni_1858,GLEDITSHIA inermi»
acagiù,1,targioni_1858,AMYRIDIS Pers
acajou,1,targioni_1858,AMYRIDIS Pers; CASSUVIUM Enc
acanto,1,targioni_1858,ACANTHUS mollis
accatcngi,1,targioni_1858,PHYSALIS Allcekengi
acero,1,targioni_1858,ACER campestre
acetina,1,targioni_1858,RUMEX Acetosa
acetosella,1,targioni_1858,OXALIS Acetosella; OXALIS corniculata; RUMEX Acetosa. Oxalida
aconito,1,targioni_1858,ACONITUM Luparia . Strozza Lupo
acoro,1,targioni_1858,ACORUS Calamus
"acrantium , callosum",1,targioni_1858,CITRUS Arancio agostaroio. Arancio i agostino
acris,1,targioni_1858,RANUNCULUS aconitifolius
acsallocco falso,1,targioni_1858,EXCOECARIA Agallocha
acuminato si levi tutto il paragrafa,1,targioni_1858,AMARELLA Cr. v
acuta frina e,1,matthioli_1568,
acutus,1,targioni_1858,RUMEX Acetosa minore. Oxalida minore. Sol- lecciola
acònito,1,targioni_1858,ACONITUM Luparia . Strozza Lupo
adianto,1,targioni_1858,ADIANTHUM Capillus veneris
adianto nero,1,targioni_1858,ADIANTHUM Capillus veneris; ASPLENIUM Adianthum nigrum
admnrn aureo,1,targioni_1858,POLYTUCHUM commune
adonide,1,targioni_1858,ADONIS aestivalis
aestivum trimenon,1,targioni_1858,TRITICUM Grano lupo
"aestivum, spica rufo-subnigra",1,targioni_1858,TRITICUM Grano Mazzocchino. Mazzocchio
afaga,1,targioni_1858,LATHYRUS Aphaca
affricognola,1,targioni_1858,VITIS Abrostine o colore nero gros- so domestico
affricognolo dolce,1,targioni_1858,VITIS Affricognolo di Pi- stoia
affricognolo forte piccolo,1,targioni_1858,VITIS Affricognolo dolce nero grosso
"afphodelo, ouero haftula regia",1,matthioli_1568,PYRI Danese; VIBURNUM Opulus
agallocco,1,targioni_1858,AGALLOCHUM officinarum
agallocco spurio,1,targioni_1858,EXCOECARIA Agallocha
agallocho,1,matthioli_1568,
"aglio, o allio di",1,targioni_1858,ÀTLIUM •mt- magicuin
"agnus ,vitex,salix amerina",1,matthioli_1568,
agrarium,1,targioni_1858,TRIFOLHJM ■
agresto,1,targioni_1858,"VITIS viniferae , fructus immaturo*"
agrifoglio,1,targioni_1858,ILEX Aquifolium
agrotto,1,matthioli_1568,
al urne di rocca,1,matthioli_1568,
al- ckenna,1,targioni_1858,LÀWSONIA inermis
alaterna,1,targioni_1858,RHAMNI Alaternus
alaterno,1,targioni_1858,RHAMNI Alaternus
"alba , folio integro",1,targioni_1858,"MORUS Moro di Granata, odi Spagna. Moro salvatico"
"alba , folio vitigineo",1,targioni_1858,MORUS Moro rosso ?
"alba , fructu albo",1,targioni_1858,"MORUS . Moro arancino , Moro bianco di foglia arancina . Moro bianco di foglia intera . Moro romano bianco"
"alba , fructu albo , foliis",1,targioni_1858,"MORUS More bianche di foglie intagliate, dette spagnole"
"alba , laciniata foemina",1,targioni_1858,MORUS Moro Gelso
"alba , sylvestris mas",1,targioni_1858,MORUS Moro salvatico morajoln . col seme a grappoli
"alba, foliis ele^anter laciniacis",1,targioni_1858,MORUS Moro bianco di foglie vi-i tiginee . Matt
"alba, laciniata , fructu subrubente",1,targioni_1858,MORUS . Moro mora|olo
"alba, mas foliis laciniatis lo? sandalo giallo",1,targioni_1858,MORUS Brasiletto gial
"alba? fructu rubro majori nori, foliis eleganter laci",1,targioni_1858,MORUS rubra? fructu runro mi
alba? fructu rubro minori china,1,targioni_1858,MORUS Moro della
albatre,1,targioni_1858,"ARACHIS ARBUTf Unedonis, fructus"
albatrelle,1,targioni_1858,"ARACHIS ARBUTf Unedonis, fructus"
albatresto,1,targioni_1858,ARBUTUS Unedo
albero a pane,1,targioni_1858,ARTOCARPUS incisa
albero del,1,targioni_1858,SCANDIX SCH1NUS Molle
albero del corallo,1,targioni_1858,ERYTHJIAEA ER YTHRINA Corallodendron
albero del paradiso,1,targioni_1858,AILANTHUS Pers
albero della cera,1,targioni_1858,MYRICA Cerifera
albero della morte,1,targioni_1858,TAXUS bacchata
albero della pazien- za,1,targioni_1858,MELI A Azedaracli
albero della seta,1,targioni_1858,ASCLEPIAS fruticosa
albero della storace liquida,1,targioni_1858,LIQUIDAMBAR styraciflua
albero de’paternostri di s,1,targioni_1858,MELI A Azedaracli
albero di,1,targioni_1858,CERCIS Siliquastrum
albero di paradiso,1,targioni_1858,AILANTHUS Pers
albero di s,1,targioni_1858,DTOSPYROS lotus
albero dì giuda,1,targioni_1858,CERCIS Siliquastrum
albicocca,1,targioni_1858,PRUNUS Albicocca alessandrina . Albi- cocca moscadella rossa
albicocca bianca tardiva,1,targioni_1858,PRUNUS Albicocca bianca di Genova . Albicocca moscadella primaticcia
albicocca di sarzana,1,targioni_1858,"PRUNUS Armeniaca, fructu majori"
albicocca nostrale di nocciolo dolce,1,targioni_1858,"PRUNUS •'Armeniaca, fructu medio nucleo dulci"
albicocca sardena,1,targioni_1858,"PRUNUS Armeniaca, fructu maximo"
albicocco,1,targioni_1858,PRUNUS Armeniaca
albigio di francami,1,targioni_1858,VITIS Albergo
albigio reale,1,targioni_1858,VITIS Albigio di Francia
albo,1,targioni_1858,"ALCEA Malvoni. Rosoni; ALTHAEA Malvone. Rosoni; IMPATIENS Balsamina femmina . Balsamine , Bcgliomini. Begliuo- mini . Belliuomini. Noli me tangere"
album,1,targioni_1858,SEDUM Semprevivo minimo. Sopravvivolo
album candidissimum •,1,targioni_1858,ERRORI I47 ROBBIO
alcachengi,1,targioni_1858,PHYSALIS Allcekengi
alcanna,1,targioni_1858,LÀWSONIA inermis
alcanna spuria,1,targioni_1858,ANCHUSA ■ tinctoria
alcea rosea fl,1,targioni_1858,MALVA ROSA BIANCA Alerà rosea fl. albo L; MALVA ROSA BIANCA rosa brizzolata . Malva rosa della China v. Alcea ro- sea sinensis L
alcea rosea fl rubro l,1,targioni_1858,MALVA ROSA BIANCA rosa gialla v Alcea rosea fl. sulphureo L
"alcea rosea, fl",1,targioni_1858,MALVA ROSA BIANCA rosa pavonazza v. Alcea rosea fl. purpureo
alcflnna vera,1,targioni_1858,LÀWSONIA inermis
aldr,1,targioni_1858,FICUS Fico Lazzero
aleatico di spagna,1,targioni_1858,VITIS Aleatico
alga,1,targioni_1858,ZOSTERA oceanica
aliamo,1,targioni_1858,ALISMA Plantago
alido,1,matthioli_1568,
alimo,1,targioni_1858,ATRIPLEX Halimus
alleluja,1,targioni_1858,OXALIS Acetosella
alliarià,1,targioni_1858,ERYSIMUM Alliarik
allorina,1,targioni_1858,PYRI Pera Allora
alloro d’india,1,targioni_1858,NERIIJM Oleander
alloro indiano,1,targioni_1858,NERIIJM Oleander
alloro spinoso,1,targioni_1858,ILEX Aquifolium
almis,1,targioni_1858,BETULA Beola . B 'itola . Betula . Bettola. Bedollo. Bidollo. Biola
alno,1,targioni_1858,ALNLFS Pers
alno nero,1,targioni_1858,RHAMNI Alaternus; RHAMNI Frangula
alo* americana,1,targioni_1858,AGAVE americana
aloe,1,targioni_1858,AGALLOCHUM officinarum
aloe brizzolata,1,targioni_1858,ALOE variegata. Enc
"aloe cavallina , o cavallino",1,targioni_1858,ALOE vulgaris . Enc
"aloe epatica , o epatico",1,targioni_1858,ALOE vulgaris . Enc
aloe patico,1,targioni_1858,ALOE vulgaris . Enc
aloisia,1,targioni_1858,ZAPPANIA citriodora . Enc
aloè,1,targioni_1858,AGALLOCHUM officinarum
alpina vivipara ?,1,targioni_1858,POA Seiammia
alpinus,1,targioni_1858,RUMEX Acetosa maggiore. Romice. Romice salva- tica
alstrocmeria peregrina,1,targioni_1858,ALPINIA Paperina . Pizza gallina
alterco,1,targioni_1858,HYOSCIAMUS albus
am- mazza l’asino,1,targioni_1858,NERIIJM Oleander
amaracciole,1,targioni_1858,SPARTIUM scoparium
amaranto,1,targioni_1858,CELOSIA argentea
amaranto bianco,1,targioni_1858,CELOSIA argentea
amareggiola,1,targioni_1858,CHRYSANTHEMITM Parrhcnium .Pers
amarella,1,targioni_1858,CHRYSANTHEMITM Parrhcnium .Pers
ambiatolo dolce,1,targioni_1858,VITIS Labrusca
ambretta,1,targioni_1858,PYRI A- madotta; SCABIOSA arvensis
ambretta salvatica,1,targioni_1858,GÉUM Urbanum
ambrosioides,1,targioni_1858,CHENOPODIUM Farinello
ambrostolo,1,targioni_1858,VITIS Labrusca
ambrostolo for- te,1,targioni_1858,VITIS Labrusca
ambrostolo salvatico,1,targioni_1858,VITIS Labrusca
amelio,1,targioni_1858,ASTER Amellus
ammi,1,targioni_1858,AMMI majus; SISON Amni
ammoniaco,1,matthioli_1568,VITIS Lonza
amomo,1,targioni_1858,AMOMUM ■ Cardamomum
amomo in caselle,1,targioni_1858,HELLENIA alba. w
amor nascosto,1,targioni_1858,AQUILEGIA - vulgaris
ampomelle,1,targioni_1858,RUBUS idaeus
amygdalar.glì arab,1,matthioli_1568,
amygdalina,1,targioni_1858,SALIX 9» pertiche. Saltcone. Salmastro . Vetricione
an iso,1,targioni_1858,PIMPINELLA Anisum
anacardio,1,targioni_1858,AMYRIDIS Eric; AVICENNIA 7»
anacardio accidentale,1,targioni_1858,CASSUVIUM Enc
anacardio occidentale,1,targioni_1858,AMYRIDIS Pers
anacardio orientale,1,targioni_1858,AMYRIDIS Eric; AVICENNIA 7»
anacardo,1,targioni_1858,AMYRIDIS Eric; AVICENNIA 7»; CASSUVIUM Enc; SEMECÀRPUS Anaeardium
anacardtum,1,matthioli_1568,
anaci,1,targioni_1858,PIMPINELLA Anisum
anacio,1,targioni_1858,PIMPINELLA Anisum
anacio salvatico,1,targioni_1858,CHARA tcmulum
"anacio stellato , o stellare",1,targioni_1858,ILLICIUM anisatum
anagiri,1,targioni_1858,ANAGYRIS foctida
anagiride,1,targioni_1858,ANAGYRIS foctida
ananas,1,targioni_1858,BRIZA BR OMELIA Ananas
ananasso,1,targioni_1858,BRIZA BR OMELIA Ananas
andrea,1,targioni_1858,DTOSPYROS lotus
andriolo,1,targioni_1858,TRITICUM Calbigia rossa. Grano gentile rosso
androsemo,1,targioni_1858,HYPERICUM Androsaemum
anemo- lo de’ campi,1,targioni_1858,ÀNEMONE coronaria
anemolo,1,targioni_1858,ÀNEMONE coronaria
anemone,1,targioni_1858,ÀNEMONE coronaria
angelica silvestre,1,targioni_1858,AEGOPODIUM Podagraria
angella,1,targioni_1858,PYRI Amedot
angiola,1,targioni_1858,VITIS Aleatico nostrale
anguria,1,targioni_1858,CUCURBITA Citrullus
ani- se,1,targioni_1858,PIMPINELLA Anisum
anice,1,targioni_1858,PIMPINELLA Anisum
anigella,1,targioni_1858,NIGELLA damascena
annuum arcuatum,1,targioni_1858,CAPPARIS Pepe rosso . Peperone . Siliquastro
annuum cerasiforme,1,targioni_1858,CAPPARIS Peperone lungo storto
annuus ivi,1,targioni_1858,CIBO 73 GIRASOLE doppio t>; CIBO egiziano
annuus ivi giuggiola tozza rigata,1,targioni_1858,CIBO piccolo
anonide,1,targioni_1858,ONOBRYCHIS ONON1S arvensis
antdra,1,targioni_1858,ACONITUM Anthora
antemide,1,targioni_1858,MATRICARIA Chamomilla
anteuforbio,1,targioni_1858,BUTOMUS Cacala Anteuphorbium
antidisentericum antidyscntericum,1,targioni_1858,ERRORI 112 NERIOantidisenterico
antidysenterica,1,targioni_1858,CIBO 4S CORTECCIA d’ angustia
antitora,1,targioni_1858,ACONITUM Anthora
"antonio , o di s",1,targioni_1858,"RUBUS fruticosus, inermis"
apari ne,1,targioni_1858,GALEOBDOLON GAL1UM Aparine
aparine,1,targioni_1858,CIBO Prato
apio ortense,1,targioni_1858,APIUM Petroselinum
apocino chiappa mosche,1,targioni_1858,APOCYNUM Androsaemifolium
apocino serpeggiante,1,targioni_1858,PERIPLOCA graeca
appiastro,1,targioni_1858,MELISSA officinalis
appiccainani,1,targioni_1858,GALEOBDOLON GAL1UM Aparine
appio,1,targioni_1858,APIUM gravcolcns «
appio macedonico,1,targioni_1858,BUBON macedonicum
appiola,1,targioni_1858,"PYRUS Malus, Apiola"
apud no,1,clavis_sanationis_1290,
apud noe tin,1,clavis_sanationis_1290,
aquatica,1,targioni_1858,RUMEX Rabarbaro alpino .Rabarbaro bastardo. Ra- barbaro de’ Frati. Rabarbaro di montagna. Rabarbaro salvatico
ar- mellini,1,targioni_1858,PRUNUS Armeniaca
araco nero,1,targioni_1858,PISUM Ochrus
arancia,1,targioni_1858,CITRI aurantii fructus; PYRI Angio- lina
"arancia , e arancio da premere",1,targioni_1858,CITRUS aurantium acri medulla vulgare
arancia da inverno,1,targioni_1858,PYRI Arancia da estate
arancia forte scannellata,1,targioni_1858,"CITRUS aurantium , acre striatum"
"arancia,e arancio forte",1,targioni_1858,CITRUS aurantium acri medulla vulgare
arancio,1,targioni_1858,CITRUS aurantiunv
arancio calloso moltiforme,1,targioni_1858,"CITRUS - aurantium , callosum mul. tiforme"
"arancio caniculato a melone, e corni- culato",1,targioni_1858,"CITRUS ~*i aurantium , caniculatum et contortum"
arancio cedrato,1,targioni_1858,"CITRUS ■**- aurantium , citratum"
arancio da fiori nostrale,1,targioni_1858,"CITRUS aurantium, admodum floriferum"
arancio dolce,1,targioni_1858,"CITRUS * aurantium , dulci medulla vulgare"
arancio volgare,1,targioni_1858,CITRUS aurantium acri medulla vulgare
arbatro,1,targioni_1858,ARBUTUS Unedo
arcidiavolo,1,targioni_1858,CELTIS australis
arcipresso,1,targioni_1858,CUPRESSUS sempervirens. a. pyramidalis
ard,1,targioni_1858,"AVENA Avena , o Vena d’Inghilterra"
arganetta,1,targioni_1858,ANCHUSA ■ tinctoria
aria,1,targioni_1858,PYRUS Cervino
"arieti-num , semine nigm",1,targioni_1858,CTCER Cece di Spagna. Cece premice
"arietinu ri , semine albo",1,targioni_1858,"CTCER Ccce, Ceca galletto. Cerio"
arietinum,1,targioni_1858,CTCER Lenticchia
"arietinum , semine majore",1,targioni_1858,CTCER Cece bianco
arietinum rubru m,1,targioni_1858,CECE rosso
aristolochia,1,targioni_1858,ARISTOLOCHIA Clematitis
aristolochia clematite,1,targioni_1858,ARISTOLOCHIA Clematitis
aristolochia lunga,1,targioni_1858,ARISTOLOCHIA Clematitis
aristolochia pistolochia,1,targioni_1858,ARISTOLOCHIA Clematitis
aristolochia rotunda,1,targioni_1858,ARISTOLOCHIA r. off. Aristolochia Clematitis. Ari- stolochia longa. Aristolo chia rotunda
aristolochia sottile,1,targioni_1858,ARISTOLOCHIA Clematitis
armel,1,targioni_1858,PEGANUM Harmala
"armeniaca , fructu albo serotino",1,targioni_1858,PRUNUS Albicocca bianca di Genova . Albicocca moscadella primaticcia
"armeniaca , major",1,targioni_1858,PRUNUS Pesca Albicocca
"armeniaca , media praecox",1,targioni_1858,PRUNUS Albicocca nostrale di nocciolo amaro
"armeniaca , parva rotunda nucleo dulci",1,targioni_1858,PRUNUS Albicocca di Malta primaticcia
"armeniaca , praecox",1,targioni_1858,PRUNUS Albicocca biricòcola
"armeniaca, machrocarpa",1,targioni_1858,PRUNUS Muliaca
"armeniaca, media nucleo amaro",1,targioni_1858,PRUNUS Albicocca di Germania grossa lunga . Albicocca di Germania grossa tonda
"armeniaca, vulgaris pcrsicodes",1,targioni_1858,PRUNUS Albicocca alessandrina . Albi- cocca moscadella rossa
"armeniacae, varietates",1,targioni_1858,PRUNI Armeniache . Bacheche. Umiliaca
armoraccio,1,targioni_1858,RAPHANUS sativus
arnica,1,targioni_1858,ARNICA montana
aro d’egitto,1,targioni_1858,ARUM Colocasla
aronia,1,targioni_1858,MESPILÙS Pero Cervino
aroserpone,1,targioni_1858,ARUM Dracunculus
arpina,1,targioni_1858,PRUNI Ciliegia alpina
arvense,1,targioni_1858,TRIFOLHJM Pratolina salvatica . Trafo gliolino salvatico . Trafogliolo a palloncini. Trifo- glio luppolino
arvensis,1,targioni_1858,RANUNCULUS Piè di Gallo
"arvensis, fl",1,targioni_1858,ANAGALLÌS Galline • Mordigallina. Mor8us gallinae
"arzese , o orzese",1,targioni_1858,VITIS Anco- ri©
arzinnia gialla,1,targioni_1858,ZINNIA pauciflora
arzinnia gialla e rossa,1,targioni_1858,ZINNIA elegans
arzinnia rossa,1,targioni_1858,ZINNIA Verticillata
arzinnie,1,targioni_1858,ZINNIA multiflora
asa dolce,1,targioni_1858,"STYRACIS Benzoe, balsamum"
asarabacca,1,targioni_1858,ASARUM curopaeum
asaro,1,targioni_1858,ASARUM curopaeum
ascalonium,1,targioni_1858,ALLIUM Porrandello
asiaticus,1,targioni_1858,RANUNCULUS Lappio. Ranuncolo de’Campi. Signorino salvatiche
"asiaticus , flore pieno rubro",1,targioni_1858,RANUNCULUS Grpngialli
"asiaticus, flore pieno croceo",1,targioni_1858,RANUNCULUS Rannuncolo
asprella,1,targioni_1858,GALEOBDOLON GAL1UM Aparine
assa,1,targioni_1858,"FERULA Assafetida , et ejus gummi resina"
assa fetida,1,targioni_1858,"FERULA Assafetida , et ejus gummi resina"
astone,1,targioni_1858,CARDUUS ■; SERRATULA arvensis
astranzia,1,targioni_1858,ASTRANTIA major
atrattile,1,targioni_1858,CNÌCUS Acarna
atriplice stive stre,1,targioni_1858,CHENOPODIUM rubru n •*
atropurpurea * fl,1,targioni_1858,SCABIOSA Vedovina gridellina
"atropurpurea , fl",1,targioni_1858,SCABIOSA Vedova . Vedovina . Vedovina pavonazza; SCABIOSA Vedovina bianca
"atropurpurea, prolifera",1,targioni_1858,SCABIOSA Vedovina brizzolata
aucuba,1,targioni_1858,AUCUBA japonica
"auranthiai, fructu maxim» foliis acutiotibus",1,targioni_1858,"CITRUS Arancio, femmina"
"aurantium , acuminato fructu",1,targioni_1858,CITRUS Arancio volgare agro
"aurantium , augustalc",1,targioni_1858,CITRUS Arancio a foglia di salcio
"aurantium , distoitum",1,targioni_1858,CITRUS Arancio di foglia riccia. Arancio riccio
"aurantium , dulci cortice",1,targioni_1858,CITRUS Arancio distorto. Bizzarria tornasole stellata
"aurantium , flore duplici",1,targioni_1858,CITRUS ^.rancio dolce con foglia riccia . *
"aurantium , fructu stellato et roseo",1,targioni_1858,CITRUS Aranci» massimo di Candia
"aurantium , genuense medulla dulci et coloratiore",1,targioni_1858,CITRUS Arancio roseo
"aurantium , hermaphroditum sive corniculatum",1,targioni_1858,CITRUS Arancio dolce di Genova
"aurantium , limonii figura medii saporis",1,targioni_1858,CITRUS Lumie
"aurantium , magnimi acti medulla",1,targioni_1858,CITRUS Limone . Limon dall’Oglio
"aurantium , maximum",1,targioni_1858,CITRUS Arancio grosso di Napoli
"aurantium , maximum verrucoso cortice",1,targioni_1858,CITRUS Arancio massimo
"aurantium , maximum verrucosum",1,targioni_1858,CITRUS Arancio massimo. Gigante verrucoso
"aurantium , mela rosa*",1,targioni_1858,CITRUS Oglio
"aurantium , pumiliuni foliis et fructu variegatis",1,targioni_1858,CITRUS Arancio di Tunisi. Arancio dolce . Pomo di Sina
"aurantium , semine carens",1,targioni_1858,CITRUS Pomin da Dama
"aurantium , sicciore medu'.la",1,targioni_1858,CITRUS ■
"aurantium , sinense pumilum",1,targioni_1858,CITRUS Arancio della China
"aurantium , sinuatum",1,targioni_1858,CITRUS «
"aurantium , stellatum et roseum",1,targioni_1858,CITRUS «
"aurantium , striatu.m",1,targioni_1858,CITRUS Ghianda
"aurantium , striatum foliis latioribus",1,targioni_1858,CITRUS Arancia scannellata . •
"aurantium , striis argenteis",1,targioni_1858,"CITRUS Arancio con foglia , o di foglia variegata"
"aurantium , sylvestre , et sylvestre medulla acri",1,targioni_1858,CITRUS -Arancio a turbante
"aurantium , virgatum",1,targioni_1858,"CITRUS Arancio acre. Arancio sal- vatico, o silvestre . Aranci* volgare"
"aurantium , virgatum-sulphureo croceum",1,targioni_1858,CITRUS Arancio striato. Aranci® striato a foglia stretta . Arancio turco. Arancio ver- gato
aurantium lima,1,targioni_1858,"CITRUS Arancia, e Arancio di sugo rosso"
"aurantium, dulci medulla crispo folio",1,targioni_1858,CITRUS Melangola
